docname,topic,proportion
gpt.txt:119,006,1.0
gpt.txt:154,000,0.427757
gpt.txt:154,001,0.31632
gpt.txt:154,002,0.255924
gpt.txt:189,005,1.0
gpt.txt:224,002,1.0
gpt.txt:259,003,1.0
gpt.txt:294,020,1.0
gpt.txt:329,001,1.0
gpt.txt:385,002,1.0
gpt.txt:420,010,1.0
gpt.txt:455,000,0.427757
gpt.txt:455,001,0.31632
gpt.txt:455,002,0.255924
gpt.txt:490,001,1.0
gpt.txt:525,001,1.0
gpt.txt:560,000,0.427757
gpt.txt:560,001,0.31632
gpt.txt:560,002,0.255924
gpt.txt:595,000,0.427757
gpt.txt:595,001,0.31632
gpt.txt:595,002,0.255924
gpt.txt:630,009,1.0
gpt.txt:665,004,1.0
gpt.txt:31,003,1.0
gpt.txt:66,000,1.0
gpt.txt:101,003,1.0
gpt.txt:136,008,1.0
gpt.txt:171,000,0.427757
gpt.txt:171,001,0.31632
gpt.txt:171,002,0.255924
gpt.txt:206,000,0.427757
gpt.txt:206,001,0.31632
gpt.txt:206,002,0.255924
gpt.txt:241,006,1.0
gpt.txt:276,024,1.0
gpt.txt:311,000,0.427757
gpt.txt:311,001,0.31632
gpt.txt:311,002,0.255924
gpt.txt:346,000,0.427757
gpt.txt:346,001,0.31632
gpt.txt:346,002,0.255924
gpt.txt:367,007,1.0
gpt.txt:402,008,1.0
gpt.txt:437,021,1.0
gpt.txt:472,000,0.427757
gpt.txt:472,001,0.31632
gpt.txt:472,002,0.255924
gpt.txt:507,015,1.0
gpt.txt:542,013,1.0
gpt.txt:577,006,1.0
gpt.txt:612,005,1.0
gpt.txt:647,007,1.0
gpt.txt:682,014,1.0
gpt.txt:8,000,0.427757
gpt.txt:8,001,0.31632
gpt.txt:8,002,0.255924
gpt.txt:43,000,0.427757
gpt.txt:43,001,0.31632
gpt.txt:43,002,0.255924
gpt.txt:78,002,1.0
gpt.txt:113,000,0.427757
gpt.txt:113,001,0.31632
gpt.txt:113,002,0.255924
